iter	Logloss
0	0.6884477253
1	0.6818539093
2	0.6757639254
3	0.6689796183
4	0.6638316732
5	0.657842411
6	0.653486066
7	0.6479370905
8	0.6428725063
9	0.6369870849
10	0.6314608938
11	0.6264783484
12	0.6210442003
13	0.6161418591
14	0.6109210112
15	0.6064223592
16	0.6024170644
17	0.5979811348
18	0.5931843366
19	0.5879519508
20	0.5840012934
21	0.5799849606
22	0.5772316017
23	0.5734567286
24	0.5699151926
25	0.5660253414
26	0.5624893316
27	0.5589839739
28	0.5557522229
29	0.5526054389
30	0.5493750903
31	0.5461668037
32	0.5429494378
33	0.5410096964
34	0.5381157584
35	0.5353888418
36	0.5337332699
37	0.5310821314
38	0.5281880494
39	0.5253002744
40	0.5228974943
41	0.5200316497
42	0.5174623415
43	0.5153714757
44	0.5129724879
45	0.5108064357
46	0.5095692513
47	0.5073113711
48	0.5061411918
49	0.5048948882
50	0.5029058966
51	0.500928873
52	0.4993776402
53	0.4970411553
54	0.4960464648
55	0.4940569665
56	0.4923358339
57	0.4907207619
58	0.4886506688
59	0.4877455067
60	0.4866117268
61	0.4850269191
62	0.4833964847
63	0.4820333029
64	0.4803838507
65	0.479491623
66	0.4778184482
67	0.4765523251
68	0.4751730939
69	0.4739208905
70	0.4724660605
71	0.4711736748
72	0.4700341999
73	0.4688207364
74	0.4675961799
75	0.4669569027
76	0.4655022648
77	0.4643828255
78	0.4637621529
79	0.4631306391
80	0.462651728
81	0.4617742871
82	0.460651771
83	0.4597519289
84	0.4586722374
85	0.4577147081
86	0.4565568138
87	0.4552745019
88	0.4543067851
89	0.4532010269
90	0.4519493385
91	0.4509611809
92	0.4497712318
93	0.448824784
94	0.4476639919
95	0.4470826898
96	0.4462569617
97	0.44582102
98	0.4450001364
99	0.4442447298
100	0.4434973324
101	0.4427969973
102	0.4421299493
103	0.4418841606
104	0.4412090535
105	0.4405752789
106	0.4402995155
107	0.4393557485
108	0.4391412442
109	0.4386859406
110	0.4382557763
111	0.4377056239
112	0.4374152412
113	0.43668064
114	0.435806213
115	0.4350495293
116	0.4345439552
117	0.4341308844
118	0.4337223763
119	0.4333065573
120	0.4328112472
121	0.4321595049
122	0.4316678705
123	0.4312085414
124	0.4307473078
125	0.4303694793
126	0.4301459348
127	0.4299358578
128	0.4298132485
129	0.4294252429
130	0.4290123355
131	0.4286650609
132	0.4283560561
133	0.4279482137
134	0.4273672896
135	0.427051629
136	0.426740105
137	0.4265466254
138	0.4261656157
139	0.4258132317
140	0.4253576238
141	0.4249385489
142	0.4245411155
143	0.4244597918
144	0.4240488643
145	0.4237719642
146	0.4234519638
147	0.4231820835
148	0.4227538298
149	0.4221632136
150	0.4218016583
151	0.42173649
152	0.4213773129
153	0.4211085189
154	0.4207648075
155	0.4204437101
156	0.4201354459
157	0.4198540451
158	0.4196003291
159	0.4191814555
160	0.41895644
161	0.4187752305
162	0.4186303756
163	0.4183777743
164	0.4182407526
165	0.417893422
166	0.4175080736
167	0.4173979172
168	0.4171468029
169	0.4168938717
170	0.4168550835
171	0.4167100348
172	0.4164803494
173	0.4164445947
174	0.4163943536
175	0.4160549025
176	0.4156447191
177	0.4154275642
178	0.4152499229
179	0.415146926
180	0.4148266988
181	0.4146227878
182	0.4143432763
183	0.4141039558
184	0.4137166557
185	0.4136913851
186	0.4133994662
187	0.4131643747
188	0.4129961584
189	0.4128054456
190	0.4126195751
191	0.4124542602
192	0.4122972662
193	0.4121148241
194	0.4119291678
195	0.4117552616
196	0.4115795454
197	0.4115318395
198	0.4114664046
199	0.4111168965
200	0.4109038114
201	0.4108877235
202	0.4108291764
203	0.4108141305
204	0.4107142045
205	0.4105224125
206	0.4103812108
207	0.4100593001
208	0.4097882276
209	0.4095990683
210	0.4093437915
211	0.4092562997
212	0.4091074889
213	0.408940619
214	0.4088044002
215	0.4086454365
216	0.4084490705
217	0.4083118988
218	0.4081599238
219	0.408016432
220	0.4078539176
221	0.4077739945
222	0.4075448866
223	0.4074179384
224	0.4071495427
225	0.4071288929
226	0.4069997126
227	0.4068686125
228	0.4067408339
229	0.4067096861
230	0.4066455758
231	0.4065096674
232	0.4063284404
233	0.4061525406
234	0.4059904675
235	0.4058769829
236	0.4058432711
237	0.4057491593
238	0.4056122275
239	0.405518642
240	0.4053204112
241	0.4051880982
242	0.4050049847
243	0.4049233635
244	0.4048265102
245	0.4047393178
246	0.4045709688
247	0.4045459266
248	0.4044088696
249	0.4043894425
250	0.4043857041
251	0.4043369156
252	0.404194703
253	0.4040784986
254	0.4039378451
255	0.4038440884
256	0.4036217488
257	0.4034190295
258	0.4033164682
259	0.403308572
260	0.40326879
261	0.4031651255
262	0.4031009319
263	0.4030094626
264	0.4028827045
265	0.4027975937
266	0.4027071474
267	0.4026572872
268	0.4024702345
269	0.4024293723
270	0.4022211454
271	0.4021172297
272	0.4020987286
273	0.4020271661
274	0.4020204559
275	0.4019622877
276	0.401938553
277	0.4018408266
278	0.4018182917
279	0.401627605
280	0.4014464818
281	0.4013548687
282	0.4013061452
283	0.4012537196
284	0.4011815678
285	0.4011238348
286	0.4010745125
287	0.4010626483
288	0.4010539072
289	0.4008949612
290	0.4007115396
291	0.4006090018
292	0.4004987929
293	0.4004270565
294	0.4003877791
295	0.4002851546
296	0.4002410874
297	0.4001822349
298	0.400117241
299	0.400046383
